anuncio,id,status,gasto_brl,compras,roas,cpa_brl,ctr,cpm_brl,frequencia,impressoes,atualizado
AD01 - KONJAC10,120251355081730102,ADSET_PAUSED,5019.32,92,3.74,54.56,"1,41%",26.0,2.46,193023,2026-05-22
CARR02,120251356488990102,CAMPAIGN_PAUSED,3412.12,53,4.57,64.38,"0,96%",29.24,2.99,116687,2026-05-22
AD02 - VIDEO 2,120251355557630102,CAMPAIGN_PAUSED,3191.73,61,5.45,52.32,"2,52%",37.09,1.92,86054,2026-05-22
AD02,120254853922400102,CAMPAIGN_PAUSED,3034.45,148,11.92,20.5,"2,52%",30.59,3.29,99194,2026-07-23
AD01 - VÍDEO 1,120251355557530102,CAMPAIGN_PAUSED,2640.67,42,4.13,62.87,"1,99%",31.43,1.39,84023,2026-05-22
AD01 - VÍDEO 1,120251575235250102,CAMPAIGN_PAUSED,2446.12,48,4.34,50.96,"1,96%",29.02,1.43,84282,2026-05-26
AD01 - VÍDEO 1,120254883774440102,CAMPAIGN_PAUSED,2319.26,106,11.9,21.88,"2,66%",37.59,2.09,61704,2026-07-24
AD02 - VIDEO 2,120253614095860102,CAMPAIGN_PAUSED,2189.4,34,3.16,64.39,"2,11%",30.17,1.39,72571,2026-06-23
AD06 - CARROSSEL,120254843735790102,CAMPAIGN_PAUSED,2169.22,98,12.44,22.13,"1,31%",26.28,2.97,82558,2026-08-24
AD01 - VÍDEO 1,120251354848090102,CAMPAIGN_PAUSED,2087.6,42,4.86,49.7,"1,69%",29.27,1.54,71327,2026-05-22
AD03 - VÍDEO 4,120252667089880102,PAUSED,1921.27,24,2.69,80.05,"1,70%",31.92,1.43,60188,2026-06-16
AD02 - VIDEO 2,120253142687530102,CAMPAIGN_PAUSED,1871.25,39,5.71,47.98,"1,76%",43.61,2.01,42909,2026-06-17
AD05 - ATRAÇÃO,120253201548360102,CAMPAIGN_PAUSED,1855.1,0,0.0,,"5,04%",6.01,1.12,308680,2026-06-18
AD05,120253765490360102,CAMPAIGN_PAUSED,1850.72,34,4.82,54.43,"1,51%",21.73,2.02,85179,2026-06-25
AD08 - ATRAÇÃO,120240079458580102,CAMPAIGN_PAUSED,1822.07,0,0.0,,"5,80%",5.11,1.18,356395,2025-11-17
AD02,120253689936770102,CAMPAIGN_PAUSED,1781.36,44,5.61,40.49,"2,39%",29.01,1.85,61395,2026-07-15
VID04,120251759595640102,PAUSED,1674.49,26,3.53,64.4,"2,28%",19.42,1.79,86241,2026-06-16
AD03 - CARROSSEL 3,120254843736190102,CAMPAIGN_PAUSED,1667.75,74,12.66,22.54,"1,58%",25.17,2.36,66248,2026-07-23
AD02 - VIDEO 2,120253000772510102,CAMPAIGN_PAUSED,1638.46,22,3.5,74.48,"1,50%",23.34,1.69,70189,2026-06-15
AD02,120253001744240102,CAMPAIGN_PAUSED,1606.6,36,5.53,44.63,"2,11%",28.35,1.84,56664,2026-06-15
AD02,120251760099360102,CAMPAIGN_PAUSED,1596.24,2,0.25,798.12,"4,00%",7.71,1.29,206940,2026-05-28
AD03 - CARROSSEL 3,120254843735830102,CAMPAIGN_PAUSED,1466.6,62,11.66,23.65,"1,67%",23.25,1.86,63076,2026-07-23
AD02 - VIDEO 2,120254152494840102,CAMPAIGN_PAUSED,1371.44,33,4.55,41.56,"2,34%",29.69,1.23,46193,2026-06-30
AD01 - VÍDEO 1,120254843736030102,CAMPAIGN_PAUSED,1314.37,45,11.54,29.21,"2,11%",22.72,2.63,57845,2026-07-23
AD02 - VIDEO 2,120254795820900102,CAMPAIGN_PAUSED,1264.41,32,4.51,39.51,"2,76%",44.09,1.55,28681,2026-07-21
AD01 - BANNER,120254853922380102,CAMPAIGN_PAUSED,1233.25,32,7.86,38.54,"2,02%",38.32,1.99,32184,2026-07-23
AD02 - VIDEO 2,120253002066610102,CAMPAIGN_PAUSED,1230.8,22,4.23,55.95,"1,62%",33.9,1.41,36310,2026-06-15
AD05 - BANNER,120253002659420102,CAMPAIGN_PAUSED,1217.53,19,2.74,64.08,"1,34%",22.42,1.5,54302,2026-06-15
AD01 - VÍDEO 1,120253066643480102,CAMPAIGN_PAUSED,1163.58,20,4.01,58.18,"2,10%",28.72,1.44,40515,2026-06-17
AD01 - VÍDEO 2,120255704765120102,ACTIVE,1140.56,12,1.86,95.05,"1,46%",36.78,1.22,31008,2026-08-28
AD01 - VÍDEO 1,120254843735770102,CAMPAIGN_PAUSED,1124.83,55,11.08,20.45,"2,18%",27.12,2.24,41469,2026-07-23
AD01 - VÍDEO 1,120254155088340102,CAMPAIGN_PAUSED,1118.9,17,3.39,65.82,"1,90%",22.89,1.18,48872,2026-06-30
AD06 - LOW CARB,120255705143570102,ACTIVE,1090.94,14,3.28,77.92,"4,43%",58.35,1.05,18697,2026-08-28
AD02 - VIDEO 2,120252325753940102,CAMPAIGN_PAUSED,1088.17,7,1.6,155.45,"1,69%",36.0,1.5,30231,2026-06-08
AD04 - BANNER 2,120254883504520102,CAMPAIGN_PAUSED,1073.88,49,12.64,21.92,"2,23%",45.14,1.77,23792,2026-07-24
AD05 - CARROSSEL,120253066643720102,CAMPAIGN_PAUSED,997.78,16,3.46,62.36,"1,16%",47.13,1.69,21169,2026-06-16
AD02 - VIDEO 2,120254843735760102,CAMPAIGN_PAUSED,900.8,36,8.91,25.02,"1,59%",23.69,2.16,38025,2026-07-23
AD02 - VIDEO 2,120254233017480102,CAMPAIGN_PAUSED,899.08,15,2.47,59.94,"3,29%",36.89,1.18,24371,2026-07-02
AD04,120254795855410102,CAMPAIGN_PAUSED,897.59,28,6.07,32.06,"4,25%",29.25,1.32,30683,2026-07-21
AD03 - BANNER 2,120253136953620102,CAMPAIGN_PAUSED,862.75,11,2.11,78.43,"1,31%",26.15,1.19,32996,2026-06-17
AD02 - VIDEO 2,120252665980030102,PAUSED,857.49,12,2.1,71.46,"2,30%",31.43,1.54,27282,2026-06-16
AD03,120254853922420102,CAMPAIGN_PAUSED,850.65,19,5.42,44.77,"2,55%",35.8,1.77,23758,2026-07-23
AD04 - CARROSSEL,120253136953590102,CAMPAIGN_PAUSED,825.49,10,2.94,82.55,"0,96%",33.65,1.58,24535,2026-06-17
AD02,120254899255340102,CAMPAIGN_PAUSED,805.36,36,9.34,22.37,"2,37%",43.53,1.42,18500,2026-07-25
AD05 - CARROSSEL,120253136953680102,WITH_ISSUES,802.67,14,4.04,57.33,"1,62%",31.11,1.27,25798,2026-06-23
AD02,120254854990490102,CAMPAIGN_PAUSED,783.96,19,5.55,41.26,"1,76%",18.98,1.36,41305,2026-07-23
AD01 - BANNER 1,120253142687500102,CAMPAIGN_PAUSED,777.31,16,5.27,48.58,"1,44%",34.55,1.82,22495,2026-06-17
AD01,120253689936760102,CAMPAIGN_PAUSED,774.19,12,3.39,64.52,"2,34%",34.64,1.55,22347,2026-06-25
AD01 - VÍDEO 1,120253126125630102,PAUSED,768.81,14,4.17,54.91,"2,14%",31.9,1.34,24102,2026-06-24
AD05,120254233173090102,CAMPAIGN_PAUSED,733.01,7,1.65,104.72,"1,40%",24.34,1.47,30120,2026-07-02
AD04,120253765490330102,CAMPAIGN_PAUSED,732.39,14,4.81,52.31,"1,34%",31.55,1.35,23213,2026-06-25
AD02 - VIDEO 2,120251355081670102,ADSET_PAUSED,731.87,10,3.32,73.19,"1,66%",25.72,1.23,28459,2026-05-22
AD02 - VIDEO 2,120254233252600102,CAMPAIGN_PAUSED,701.53,10,3.25,70.15,"2,12%",57.16,1.38,12273,2026-07-02
AD05 - CARROSSEL,120251355081700102,ADSET_PAUSED,687.68,11,4.47,62.52,"1,72%",34.23,1.42,20088,2026-05-22
VID01,120252011511990102,CAMPAIGN_PAUSED,654.59,7,2.96,93.51,"1,92%",33.34,1.17,19633,2026-06-01
AD04 - BANNER 2,120253211876170102,CAMPAIGN_PAUSED,654.58,10,4.07,65.46,"2,13%",34.04,1.38,19232,2026-06-19
AD03 - BANNER 2,120253142687460102,CAMPAIGN_PAUSED,653.24,11,3.75,59.39,"1,73%",26.33,1.45,24814,2026-06-17
AD01 - VÍDEO 1,120254232991590102,CAMPAIGN_PAUSED,639.5,10,3.02,63.95,"2,30%",35.03,1.16,18254,2026-07-02
AD03 - BANNER 1,120252678192220102,CAMPAIGN_PAUSED,629.51,4,2.23,157.38,"0,88%",31.86,1.97,19760,2026-06-10
VID01,120252745868650102,CAMPAIGN_PAUSED,617.55,8,2.4,77.19,"1,85%",32.05,1.12,19267,2026-06-11
AD01,120252514022620102,CAMPAIGN_PAUSED,612.19,14,6.3,43.73,"1,56%",43.38,1.42,14113,2026-06-08
AD02 - CARROSSEL,120253844420080102,CAMPAIGN_PAUSED,610.56,12,4.0,50.88,"1,09%",32.99,1.3,18506,2026-06-26
AD06 - CARROSSEL,120254843736060102,CAMPAIGN_PAUSED,604.72,38,19.93,15.91,"1,47%",32.09,1.94,18842,2026-07-23
AD01 - VÍDEO 1,120253142514840102,CAMPAIGN_PAUSED,602.45,7,3.02,86.06,"1,92%",30.01,1.27,20074,2026-06-17
AD02 - BANNER 1,120254795844860102,CAMPAIGN_PAUSED,590.86,18,9.2,32.83,"2,68%",42.77,2.14,13814,2026-07-21
AD02 - VIDEO 2,120253764385440102,CAMPAIGN_PAUSED,578.28,5,2.74,115.66,"2,05%",33.91,1.45,17054,2026-06-25
