conjunto,id,status,meta_otimizacao,estrategia_lance,gasto_brl,compras,roas,cpa_brl,ctr,frequencia,atualizado
01 - Campeões,120254843736100102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,12079.99,535,12.12,22.58,"1,80%",5.45,2026-07-24
01 - Campeões,120251355081820102,PAUSED,OFFSITE_CONVERSIONS,,8465.83,153,3.95,55.33,"1,59%",2.66,2026-06-15
01 - [FEED/STORIES] FRIO,120254853922320102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,5601.85,210,9.57,26.68,"2,45%",3.9,2026-07-23
01 - IG - ADV+ - ABERTO,120251355941240102,CAMPAIGN_PAUSED,VALUE,,4057.52,61,4.41,66.52,"1,12%",3.2,2026-05-22
01 - [FEED/STORIES],120253142687480102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,3506.2,71,5.11,49.38,"1,68%",2.47,2026-06-17
02 - [FEED/STORIES] QUENTE - Gracyanne,120255704765090102,ACTIVE,OFFSITE_CONVERSIONS,,3236.0,32,2.05,101.12,"2,06%",1.18,2026-08-28
02 - [FEED/STORIES] FRIO,120251355557780102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,Highest volume,3215.81,62,5.48,51.87,"2,52%",1.93,2026-06-10
01 - [FEED/STORIES] ADV+,120253689936780102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,3095.64,67,4.76,46.2,"2,33%",2.2,2026-07-15
01 - [FEED/STORIES] FRIO,120253765490370102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,3050.0,58,5.3,52.59,"1,53%",2.04,2026-07-02
01 - [FEED/STORIES] FRIO,120254883774490102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,2838.9,124,11.67,22.89,"2,58%",2.26,2026-07-27
01 - [FEED/STORIES] FRIO,120253136953580102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,2793.55,41,3.23,68.14,"1,33%",1.63,2026-06-17
01 - [FEED/STORIES] FRIO,120251355557770102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,Highest volume,2640.67,42,4.13,62.87,"1,99%",1.39,2026-06-10
01 - Campeões,120253002659230102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,2492.26,54,4.34,46.15,"1,61%",1.84,2026-06-16
01 - [FEED/STORIES] ADV+,120251575235100102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,2476.74,48,4.28,51.6,"1,95%",1.44,2026-05-26
