mes,investido_brl,compras,roas,cpa_brl,cpm_brl,alcance,frequencia
2025-03,54096.08,2184,6.498,24.77,11.94,1182810,3.832
2025-04,64517.42,2040,5.396,31.63,12.6,1465554,3.495
2025-05,55147.97,1486,4.507,37.11,12.22,1228732,3.673
2025-06,60734.34,1746,5.118,34.78,11.88,1377903,3.71
2025-07,57150.5,1937,5.855,29.5,12.79,1074515,4.159
2025-08,46314.14,1501,6.383,30.86,13.45,741586,4.644
2025-09,51584.62,1585,5.19,32.55,11.77,1413710,3.1
2025-10,43825.74,1247,4.433,35.14,11.86,1562535,2.364
2025-11,53645.34,2016,7.074,26.61,14.39,1467126,2.54
2025-12,43819.67,1483,5.593,29.55,11.3,1521106,2.548
2026-01,47009.69,1512,5.038,31.09,8.93,1959055,2.686
2026-02,67373.49,1915,5.962,35.18,11.67,1917685,3.01
2026-03,100312.12,2622,6.716,38.26,14.94,2053473,3.269
2026-04,112027.69,2655,5.966,42.19,15.65,2576821,2.778
2026-05,129647.7,2427,4.745,53.42,23.83,1290473,4.215
2026-06,77089.43,1143,3.556,67.44,24.55,1051255,2.987
2026-07,39592.64,912,5.471,43.41,20.94,803127,2.355
2026-08,30494.32,745,6.382,40.93,36.37,276801,3.029
